host,row,col,rack,shelf,slot,x,y,z,section,ibport,partner,bootnode
rd2,f,11,f11,1,0,0,0,0,,17,rd1,rdboot1
rd2-sp,f,11,f11,1,0,0,0,0,,17,rd1,rdboot1
rd20,f,11,f11,1,9,0,0,1,,23,rd19,rdboot1
rd20-sp,f,11,f11,1,9,0,0,1,,23,rd19,rdboot1
rd21,f,11,f11,1,10,0,0,1,,24,rd22,rdboot1
rd21-sp,f,11,f11,1,10,0,0,1,,24,rd22,rdboot1
rd22,f,11,f11,1,10,0,0,1,,25,rd21,rdboot1
rd22-sp,f,11,f11,1,10,0,0,1,,25,rd21,rdboot1
rd23,f,11,f11,1,11,0,0,1,,26,rd24,rdboot1
rd23-sp,f,11,f11,1,11,0,0,1,,26,rd24,rdboot1
rd24,f,11,f11,1,11,0,0,1,,27,rd23,rdboot1
rd24-sp,f,11,f11,1,11,0,0,1,,27,rd23,rdboot1
rd25,f,11,f11,2,0,0,0,2,,16,rd26,rdboot1
rd25-sp,f,11,f11,2,0,0,0,2,,16,rd26,rdboot1
rd26,f,11,f11,2,0,0,0,2,,17,rd25,rdboot1
rd26-sp,f,11,f11,2,0,0,0,2,,17,rd25,rdboot1
rd27,f,11,f11,2,1,0,0,2,,18,rd28,rdboot1
rd27-sp,f,11,f11,2,1,0,0,2,,18,rd28,rdboot1
rd28,f,11,f11,2,1,0,0,2,,19,rd27,rdboot1
rd28-sp,f,11,f11,2,1,0,0,2,,19,rd27,rdboot1
rd29,f,11,f11,2,2,0,0,2,,20,rd30,rdboot1
rd29-sp,f,11,f11,2,2,0,0,2,,20,rd30,rdboot1
rd3,f,11,f11,1,1,0,0,0,,18,rd4,rdboot1
rd3-sp,f,11,f11,1,1,0,0,0,,18,rd4,rdboot1
rd30,f,11,f11,2,2,0,0,2,,21,rd29,rdboot1
rd30-sp,f,11,f11,2,2,0,0,2,,21,rd29,rdboot1
rd31,f,11,f11,2,3,0,0,2,,22,rd32,rdboot1
rd31-sp,f,11,f11,2,3,0,0,2,,22,rd32,rdboot1
rd32,f,11,f11,2,3,0,0,2,,23,rd31,rdboot1
